Taxon,SpecName_Layer,Layer,Ellenberg_Light,Ellenberg_Temperature,Ellenberg_Moisture,Ellenberg_Soil_Reaction,Ellenberg_Nutrients,dist_freq,dist_sev,THE,THF,conserv_stat,alien,inv_status,THE_THF
Onobrychis viciifolia agg.,Onobrychis viciifolia agg._6,6,8,6,4,8,4,NA,NA,NA,NA,NA,NA,NA,NA
Ononis spinosa,Ononis spinosa_6,6,8,6,4,7,3,-0.145,0.253,TRUE,FALSE,LC(NA),NA,NA,TRUE
Orchis militaris,Orchis militaris_6,6,7,7,4,8,2,NA,NA,NA,NA,EN,NA,NA,NA
Orobanche alba,Orobanche alba_6,6,8,7,3,8,3,NA,NA,NA,NA,LC,NA,NA,NA
Orobanche elatior,Orobanche elatior_6,6,8,7,4,8,3,NA,NA,NA,NA,VU,NA,NA,NA
Papaver rhoeas,Papaver rhoeas_6,6,7,6,4,7,6,0.256,0.967,FALSE,FALSE,LC(NA),archaeophyte,nat,NA
Pastinaca sativa,Pastinaca sativa_6,6,8,6,5,7,5,-0.221,0.55,NA,NA,NA,NA,NA,NA
Peucedanum alsaticum,Peucedanum alsaticum_6,6,7,7,4,8,3,-0.579,0.25,FALSE,FALSE,NT,NA,NA,NA
Peucedanum cervaria,Peucedanum cervaria_6,6,7,6,3,7,3,-0.452,0.184,FALSE,FALSE,LC,NA,NA,NA
Phleum phleoides,Phleum phleoides_6,6,8,6,3,7,3,-0.431,0.237,FALSE,TRUE,LC(NA),NA,NA,TRUE
Phleum pratense agg.,Phleum pratense agg._6,6,7,5,5,6,7,NA,NA,NA,NA,NA,NA,NA,NA
Picea abies,Picea abies_7,0,5,4,6,4,4,-0.884,0.07,FALSE,FALSE,LC(NA),NA,NA,NA
Picris hieracioides,Picris hieracioides_6,6,8,6,4,7,5,-0.176,0.484,NA,NA,LC(NA),NA,NA,NA
Pilosella bauhini,Pilosella bauhini_6,6,8,7,3,7,3,-0.232,0.235,NA,NA,LC(NA),NA,NA,NA
Pilosella densiflora,Pilosella densiflora_6,6,8,7,3,7,3,NA,NA,NA,NA,NT,NA,NA,NA
Pilosella officinarum,Pilosella officinarum_6,6,7,5,4,5,2,-0.329,0.272,FALSE,FALSE,LC(NA),NA,NA,NA
Pimpinella major,Pimpinella major_6,6,7,5,5,7,6,-0.367,0.324,FALSE,FALSE,LC(NA),NA,NA,NA
Pimpinella saxifraga,Pimpinella saxifraga_6,6,7,5,3,6,3,-0.308,0.293,TRUE,FALSE,LC(NA),NA,NA,TRUE
Pinus sylvestris,Pinus sylvestris_0,0,6,5,5,5,2,-0.93,0.062,FALSE,FALSE,LC(NA),NA,NA,NA
Plantago lanceolata,Plantago lanceolata_6,6,7,5,5,6,5,-0.137,0.448,FALSE,FALSE,LC(NA),NA,NA,NA
Plantago major,Plantago major_6,6,7,5,5,6,6,-0.039,0.704,FALSE,FALSE,NA,NA,NA,NA
Plantago media,Plantago media_6,6,7,6,4,7,4,-0.162,0.319,TRUE,TRUE,NA,NA,NA,TRUE
Platanthera bifolia agg.,Platanthera bifolia agg._6,6,6,6,5,6,4,NA,NA,NA,NA,VU,NA,NA,NA
Poa angustifolia,Poa angustifolia_6,6,7,6,4,6,4,NA,NA,NA,NA,LC(NA),NA,NA,NA
Poa compressa,Poa compressa_6,6,9,6,3,7,3,-0.513,0.525,FALSE,FALSE,LC(NA),NA,NA,NA
Poa palustris,Poa palustris_6,6,6,5,8,6,7,-0.505,0.41,NA,NA,LC(NA),NA,NA,NA
Polygala amarella,Polygala amarella_6,6,8,5,8,8,2,-0.612,0.121,NA,NA,EN,NA,NA,NA
Polygala comosa,Polygala comosa_6,6,8,6,3,8,3,-0.05,0.26,FALSE,TRUE,LC(NA),NA,NA,TRUE
Polygala major,Polygala major_6,6,8,7,3,8,3,-0.088,0.233,TRUE,FALSE,NT,NA,NA,TRUE
Polygala vulgaris,Polygala vulgaris_6,6,7,5,5,4,3,-0.463,0.279,FALSE,FALSE,LC(NA),NA,NA,NA
Potentilla argentea,Potentilla argentea_6,6,9,6,2,5,3,-0.211,0.431,FALSE,FALSE,LC(NA),NA,NA,NA
Potentilla heptaphylla,Potentilla heptaphylla_6,6,7,6,3,8,4,-0.253,0.253,TRUE,TRUE,LC(NA),NA,NA,TRUE
Potentilla incana,Potentilla incana_6,6,9,7,2,8,2,-0.326,0.249,FALSE,FALSE,NT,NA,NA,NA
Potentilla recta,Potentilla recta_6,6,8,7,3,7,3,-0.444,0.268,NA,NA,LC,NA,NA,NA
Potentilla reptans,Potentilla reptans_6,6,6,6,6,7,6,-0.288,0.471,FALSE,FALSE,LC(NA),NA,NA,NA
Primula veris,Primula veris_6,6,7,6,4,7,4,-0.615,0.179,FALSE,FALSE,LC,NA,NA,NA
Prunella grandiflora,Prunella grandiflora_6,6,7,6,3,8,3,-0.07,0.244,TRUE,FALSE,NT,NA,NA,TRUE
Prunella laciniata,Prunella laciniata_6,6,7,6,3,8,3,-0.335,0.247,NA,NA,NT,NA,NA,NA
Prunella vulgaris,Prunella vulgaris_6,6,7,5,5,6,5,-0.265,0.345,NA,NA,LC(NA),NA,NA,NA
Prunella x dissecta (P. grandiflora x laciniata),Prunella x dissecta (P. grandiflora x laciniata)_6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prunus species,Prunus species_0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulmonaria angustifolia,Pulmonaria angustifolia_6,6,6,7,4,7,3,-0.377,0.224,FALSE,FALSE,VU,NA,NA,NA
Pulsatilla grandis,Pulsatilla grandis_6,6,8,7,3,7,2,-0.053,0.237,FALSE,FALSE,VU,NA,NA,NA
Pulsatilla pratensis ssp. bohemica,Pulsatilla pratensis ssp. bohemica_6,6,8,6,3,7,2,-0.341,0.23,FALSE,FALSE,VU,NA,NA,NA
Quercus petraea,Quercus petraea_7,0,6,6,5,5,4,NA,NA,NA,NA,LC(NA),NA,NA,NA
Quercus pubescens,Quercus pubescens_7,0,7,8,3,7,3,NA,NA,NA,NA,NT,NA,NA,NA
Quercus robur,Quercus robur_7,0,6,6,6,6,5,-0.774,0.08,FALSE,FALSE,LC(NA),NA,NA,NA
Ranunculus polyanthemos,Ranunculus polyanthemos_6,6,6,6,4,7,3,-0.278,0.272,FALSE,FALSE,LC(NA),NA,NA,NA
Rapistrum perenne,Rapistrum perenne_6,6,8,7,3,8,5,-0.506,0.297,NA,NA,NT,NA,NA,NA
Reseda lutea,Reseda lutea_6,6,8,6,3,8,5,-0.276,0.697,FALSE,FALSE,LC(NA),archaeophyte,nat,NA
Rhamnus cathartica,Rhamnus cathartica_0,0,7,5,4,8,5,-1.051,0.128,FALSE,FALSE,LC(NA),NA,NA,NA
Rhinanthus alectorolophus,Rhinanthus alectorolophus_6,6,8,6,4,7,5,0.053,0.736,NA,NA,VU,NA,NA,NA
Rhinanthus major,Rhinanthus major_6,6,7,5,5,7,3,-0.319,0.255,NA,NA,LC(NA),NA,NA,NA
Rhinanthus minor,Rhinanthus minor_6,6,7,5,4,5,4,-0.129,0.313,NA,NA,LC(NA),NA,NA,NA
Robinia pseudoacacia,Robinia pseudoacacia_0,0,6,6,4,6,7,-1.252,0.187,FALSE,FALSE,LC(NA),neophyte,inv,NA
Rosa species,Rosa species_0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubus caesius,Rubus caesius_6,6,6,5,6,7,7,-0.635,0.417,NA,NA,LC(NA),NA,NA,NA
Salix caprea,Salix caprea_7,0,7,5,6,6,6,-0.979,0.266,FALSE,FALSE,LC(NA),NA,NA,NA
Salsola tragus ssp. tragus,Salsola tragus ssp. tragus_6,6,9,7,3,7,6,NA,NA,FALSE,FALSE,EN,NA,NA,NA
Salvia nemorosa,Salvia nemorosa_6,6,8,7,3,8,4,-0.451,0.384,FALSE,FALSE,LC(NA),NA,NA,NA
Salvia pratensis,Salvia pratensis_6,6,7,6,3,8,4,-0.358,0.259,TRUE,FALSE,LC(NA),NA,NA,TRUE
Salvia verticillata,Salvia verticillata_6,6,7,6,4,7,5,-0.31,0.34,TRUE,FALSE,LC(NA),NA,NA,TRUE
Sanguisorba minor,Sanguisorba minor_6,6,7,6,3,7,3,-0.301,0.269,TRUE,TRUE,LC(NA),NA,NA,TRUE
Scabiosa canescens,Scabiosa canescens_6,6,7,7,3,8,3,-0.193,0.22,TRUE,FALSE,NT,NA,NA,TRUE
Scabiosa ochroleuca,Scabiosa ochroleuca_6,6,8,6,3,8,3,-0.173,0.251,TRUE,FALSE,LC(NA),NA,NA,TRUE
Scorzonera purpurea,Scorzonera purpurea_6,6,8,7,3,8,3,NA,NA,NA,NA,VU,NA,NA,NA
Securigera varia,Securigera varia_6,6,7,5,4,7,4,-0.43,0.314,FALSE,TRUE,LC(NA),NA,NA,TRUE
Sedum acre,Sedum acre_6,6,8,6,2,6,2,-0.218,0.327,FALSE,FALSE,LC(NA),NA,NA,NA
Sedum sexangulare,Sedum sexangulare_6,6,8,6,2,6,3,-0.415,0.285,FALSE,FALSE,LC(NA),NA,NA,NA
Senecio jacobaea,Senecio jacobaea_6,6,8,6,4,7,4,-0.208,0.293,NA,NA,LC(NA),NA,NA,NA
Seseli annuum,Seseli annuum_6,6,8,6,3,8,2,-0.211,0.238,NA,NA,NT,NA,NA,NA
Seseli hippomarathrum,Seseli hippomarathrum_6,6,9,7,2,9,1,-0.157,0.233,FALSE,FALSE,NT,NA,NA,NA
Seseli osseum,Seseli osseum_6,6,9,7,2,7,2,-0.419,0.238,FALSE,FALSE,LC,NA,NA,NA
Silene latifolia,Silene latifolia_6,6,7,6,4,7,7,-0.356,0.728,NA,NA,LC(NA),archaeophyte,nat,NA
Silene otites,Silene otites_6,6,9,7,2,7,2,-0.159,0.258,FALSE,FALSE,NT,NA,NA,NA
Silene vulgaris,Silene vulgaris_6,6,6,6,4,6,4,-0.595,0.341,FALSE,FALSE,NA,NA,NA,NA
Solidago gigantea,Solidago gigantea_6,6,7,6,6,6,7,-0.426,0.544,NA,NA,LC(NA),neophyte,inv,NA
Solidago virgaurea,Solidago virgaurea_6,6,6,5,5,5,4,-0.718,0.144,FALSE,FALSE,LC(NA),NA,NA,NA
Sonchus oleraceus,Sonchus oleraceus_6,6,7,6,5,7,8,-0.078,0.886,FALSE,FALSE,LC(NA),archaeophyte,nat,NA
Stachys recta,Stachys recta_6,6,7,6,3,8,3,-0.527,0.242,FALSE,FALSE,LC(NA),NA,NA,NA
Stipa capillata,Stipa capillata_6,6,9,7,2,8,2,-0.3,0.256,FALSE,FALSE,NT,NA,NA,NA
Symphytum officinale,Symphytum officinale_6,6,7,6,7,7,8,-0.504,0.397,FALSE,FALSE,LC(NA),NA,NA,NA
Symphytum tuberosum,Symphytum tuberosum_6,6,4,6,5,7,6,-0.687,0.106,FALSE,FALSE,LC(NA),NA,NA,NA
Syringa vulgaris,Syringa vulgaris_7,0,7,7,4,7,6,NA,NA,FALSE,FALSE,LC(NA),neophyte,nat,NA
Tanacetum corymbosum,Tanacetum corymbosum_6,6,6,7,4,7,4,-0.714,0.102,FALSE,FALSE,LC(NA),NA,NA,NA
Tanacetum vulgare,Tanacetum vulgare_6,6,7,6,5,7,6,-0.3,0.595,FALSE,FALSE,LC(NA),archaeophyte,nat,NA
Taraxacum sect. Taraxacum,Taraxacum sect. Taraxacum_6,6,7,5,5,7,7,-0.346,0.593,NA,NA,NA,NA,NA,NA
Teucrium chamaedrys,Teucrium chamaedrys_6,6,7,7,3,8,3,-0.507,0.224,FALSE,FALSE,LC,NA,NA,NA
Thalictrum minus,Thalictrum minus_6,6,6,7,3,8,3,-0.595,0.217,FALSE,FALSE,NA,NA,NA,NA
Thesium linophyllon,Thesium linophyllon_6,6,7,7,3,8,3,-0.212,0.22,NA,NA,NT,NA,NA,NA
Thymus pannonicus agg.,Thymus pannonicus agg._6,6,8,7,3,7,3,NA,NA,NA,NA,NA,NA,NA,NA
Thymus praecox,Thymus praecox_6,6,8,6,2,7,2,-0.381,0.229,FALSE,FALSE,LC,NA,NA,NA
Thymus pulegioides,Thymus pulegioides_6,6,7,6,4,6,3,-0.392,0.289,FALSE,TRUE,NA,NA,NA,TRUE
Tilia cordata,Tilia cordata_0,0,4,6,5,6,5,-0.734,0.042,FALSE,FALSE,LC(NA),NA,NA,NA
Torilis japonica,Torilis japonica_6,6,6,6,5,7,8,-0.755,0.364,FALSE,FALSE,LC(NA),NA,NA,NA
Tragopogon orientalis,Tragopogon orientalis_6,6,7,6,4,7,6,-0.037,0.338,NA,NA,LC(NA),NA,NA,NA
Trifolium alpestre,Trifolium alpestre_6,6,7,6,3,7,3,-0.546,0.17,FALSE,FALSE,LC(NA),NA,NA,NA
Trifolium campestre,Trifolium campestre_6,6,8,6,4,6,4,-0.1,0.5,FALSE,FALSE,LC(NA),NA,NA,NA
Trifolium montanum,Trifolium montanum_6,6,7,6,3,8,3,-0.166,0.26,FALSE,TRUE,LC(NA),NA,NA,TRUE
Trifolium ochroleucon,Trifolium ochroleucon_6,6,7,6,4,8,3,-0.377,0.272,NA,NA,NT,NA,NA,NA
Trifolium pratense,Trifolium pratense_6,6,7,5,5,7,6,-0.107,0.463,NA,NA,LC(NA),NA,NA,NA
Trifolium repens,Trifolium repens_6,6,7,5,5,6,6,-0.067,0.569,NA,NA,LC(NA),NA,NA,NA
Trinia glauca,Trinia glauca_6,6,9,8,2,8,2,NA,NA,NA,NA,EN,NA,NA,NA
Tripleurospermum inodorum,Tripleurospermum inodorum_6,6,7,6,5,6,7,0.041,0.857,FALSE,FALSE,LC(NA),archaeophyte,nat,NA
Trisetum flavescens,Trisetum flavescens_6,6,7,5,5,6,5,-0.125,0.339,FALSE,FALSE,LC(NA),NA,NA,NA
Tussilago farfara,Tussilago farfara_6,6,8,5,6,7,6,-0.275,0.644,FALSE,FALSE,LC(NA),NA,NA,NA
Urtica dioica,Urtica dioica_6,6,5,5,6,7,9,-0.665,0.383,FALSE,FALSE,LC(NA),NA,NA,NA
Valeriana excelsa ssp. sambucifolia,Valeriana excelsa ssp. sambucifolia_6,6,6,5,8,6,7,-0.73,0.22,FALSE,FALSE,NA,NA,NA,NA
Valeriana officinalis,Valeriana officinalis_6,6,7,5,7,7,7,-0.485,0.313,NA,NA,LC(NA),NA,NA,NA
Verbascum chaixii ssp. austriacum,Verbascum chaixii ssp. austriacum_6,6,7,6,3,7,5,-0.528,0.252,FALSE,FALSE,NA,NA,NA,NA
Veronica chamaedrys agg.,Veronica chamaedrys agg._6,6,6,5,5,7,6,-0.428,0.299,NA,NA,NA,NA,NA,NA
Veronica officinalis,Veronica officinalis_6,6,5,5,4,4,4,-0.593,0.202,FALSE,FALSE,LC(NA),NA,NA,NA
Veronica persica,Veronica persica_6,6,7,6,5,7,7,0.372,0.98,FALSE,FALSE,LC(NA),neophyte,nat,NA
Veronica prostrata,Veronica prostrata_6,6,8,7,2,8,3,-0.074,0.283,FALSE,FALSE,LC,NA,NA,NA
Veronica spicata,Veronica spicata_6,6,7,6,3,7,2,-0.282,0.235,FALSE,FALSE,LC,NA,NA,NA
Veronica teucrium,Veronica teucrium_6,6,7,6,3,7,4,-0.482,0.21,NA,NA,LC,NA,NA,NA
Vicia angustifolia,Vicia angustifolia_6,6,7,6,4,5,5,0.215,0.896,FALSE,FALSE,LC(NA),archaeophyte,nat,NA
Vicia cracca agg.,Vicia cracca agg._6,6,7,5,4,7,5,NA,NA,NA,NA,NA,NA,NA,NA
Vicia hirsuta,Vicia hirsuta_6,6,7,6,4,5,5,0.064,0.812,FALSE,FALSE,LC(NA),NA,NA,NA
Vicia sepium,Vicia sepium_6,6,6,5,5,6,6,-0.423,0.34,NA,NA,LC(NA),NA,NA,NA
Vicia tetrasperma,Vicia tetrasperma_6,6,7,6,4,5,5,0.047,0.78,FALSE,FALSE,LC(NA),NA,NA,NA
Vincetoxicum hirundinaria,Vincetoxicum hirundinaria_6,6,6,6,3,7,3,-0.795,0.145,FALSE,FALSE,LC(NA),NA,NA,NA
Viola ambigua,Viola ambigua_6,6,7,7,3,8,3,-0.327,0.255,NA,NA,NT,NA,NA,NA
Viola arvensis,Viola arvensis_6,6,7,5,5,6,6,0,0.904,FALSE,FALSE,LC(NA),NA,NA,NA
Viola hirta,Viola hirta_6,6,6,5,3,8,3,-0.589,0.216,FALSE,FALSE,LC(NA),NA,NA,NA
Viola odorata,Viola odorata_6,6,5,6,5,7,7,-0.889,0.282,FALSE,FALSE,LC(NA),archaeophyte,nat,NA
Viola riviniana,Viola riviniana_6,6,4,6,5,6,6,-0.732,0.119,FALSE,FALSE,NA,NA,NA,NA
Viola rupestris,Viola rupestris_6,6,7,6,3,8,2,-0.429,0.193,FALSE,FALSE,NT,NA,NA,NA
Viola x hirtiformis (V. ambigua x hirta),Viola x hirtiformis (V. ambigua x hirta)_6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Viola x scabra,Viola x scabra_6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitis vinifera,Vitis vinifera_7,0,6,7,5,7,6,NA,NA,NA,NA,LC(NA),NA,NA,NA
